MAP5	Std	sh
0.75	0.25	0.1
0.75	0.25	0.5
0.5	0.5	1.0
0.75	0.25	2.0
0.625	0.375	5.0
0.875	0.125	10.0
0.625	0.375	20.0
0.875	0.125	50.0
