MAP	Std	sh
1.73707615342e-05	1.73707615342e-05	0.1
0.0	0.0	0.5
0.0	0.0	1.0
1.38966092273e-05	1.38966092273e-05	2.0
6.94830461367e-06	6.94830461367e-06	5.0
2.73074822501e-05	2.73074822501e-05	10.0
5.46149645003e-06	5.46149645003e-06	20.0
1.36537411251e-05	1.36537411251e-05	50.0
